Season,Name,Position,Team,Conference,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns,Overall Pick,Combine Participation
2023,Jordan Travis,QB,Florida State,ACC,0.416,0.422,0.379,0.204,0.523,0.548,0.268,0.648,163.357,140.234,23.123,30.416,66.445,58.04,64.219,99.138,171,0
2023,Marcus Riley,WR,Florida A&M,SWAC,0.805,0.956,-0.099,0.801,0.223,1.995,0.831,0.733,33.826,34.423,-0.597,21.626,2.226,9.974,25.767,8.059,300,0
2023,Tyler Harrell,WR,Miami,ACC,0.907,0.907,0.527,0.562,0.495,1.278,0.907,0.795,3.626,3.626,0,0.562,0.991,0,3.626,0,300,0
2023,Luke Shiflett,WR,Furman,SoCon,1.121,1.121,0.358,1.371,0.6,1.948,1.326,0.98,30.264,30.264,0,8.225,8.402,13.637,14.589,15.675,300,0
2023,Theo Day,QB,Northern Iowa,MVFC,0.456,0.53,-0.203,0.251,0.588,0.606,0.318,0.66,118.63,123.912,-5.282,25.319,49.948,41.197,49.301,69.329,300,0
2023,Chris Carter,TE,Tulane,AAC,0.635,0.635,-0.598,0.48,0.7,0.69,0.905,0.364,8.885,8.885,0,1.919,4.897,2.07,6.337,2.549,300,0
2023,Jordan McCloud,QB,James Madison,SBC,0.487,0.521,0.304,0.353,0.434,0.737,0.429,0.598,210.959,190.56,20.399,65.969,62.43,68.568,122.389,88.57,300,0
2023,Jason Bean,QB,Kansas,B12,0.724,0.796,0.382,0.465,0.641,1.032,0.644,0.825,167.291,152.029,15.262,38.608,46.138,68.118,83.125,84.166,300,0
2023,Jyaire Shorter,WR,Auburn,SEC,1.118,1.118,0.805,0.913,1.118,1.168,0.961,1.118,1.118,1.118,0,0,1.118,0,0,1.118,300,0
2023,Zack Annexstad,QB,Illinois State,MVFC,0.418,0.438,0.246,0.294,0.203,0.775,0.318,0.654,122.103,114.71,7.393,41.485,14.022,56.561,65.243,56.86,300,0
2023,Bryce Williams,RB,Minnesota,Big Ten,0.195,1.124,0.088,-0.096,-0.035,0.366,0.192,0.203,7.59,4.494,3.096,-1.341,-0.416,3.663,5.761,1.829,300,0
2023,Brevyn Spann-Ford,TE,Minnesota,Big Ten,0.77,0.77,-0.243,0.675,0.865,0.852,0.605,0.952,16.176,16.176,0,6.754,3.46,5.963,6.652,9.524,300,1
2023,David Martin-Robinson,TE,Temple,AAC,1.189,1.208,0.953,0.668,1.509,1.042,0.94,1.438,47.558,44.698,2.86,6.683,22.629,12.503,18.795,28.764,300,0
2023,Jordan Smith,TE,Temple,AAC,0.877,0.877,0.264,-0.231,0.96,1.865,0.179,1.724,27.176,27.176,0,-2.082,12.476,16.782,3.042,24.134,300,0
2023,Thomas Yassmin,TE,Utah,PAC,0.462,0.462,-0.423,1.101,-0.827,1.137,0.718,-0.048,4.162,4.162,0,5.504,-2.48,1.137,4.307,-0.145,300,0
2023,Da'kendall James,WR,Towson,CAA,0.738,0.738,0.227,0.47,0.758,1.314,0.606,1.028,11.8,11.8,0,2.35,6.821,2.629,6.661,5.14,300,0
2023,Colson Yankoff,RB,UCLA,PAC,-0.741,-1.158,-0.325,-0.539,-0.275,-1.611,-0.451,-1.611,-2.965,-2.315,-0.65,-1.079,-0.275,-1.611,-1.354,-1.611,300,0
2023,Marquis Spiker,WR,Portland State,Big Sky,1.625,1.614,1.751,1.842,1.328,1.834,1.296,2.283,19.502,17.751,1.751,5.526,6.642,7.335,10.37,9.132,300,0
2023,Jacob Sirmon,QB,Northern Colorado,Big Sky,0.057,0.075,-0.081,0.016,-0.157,0.308,0.048,0.072,9.82,11.44,-1.62,1.095,-7.233,15.686,5.119,4.701,300,0
2023,Austin Osborne,WR,Bowling Green,MAC,0.348,0.35,0.299,-0.065,0.43,0.677,-0.066,0.719,12.537,12.238,0.299,-0.652,5.586,7.442,-1.118,13.655,300,0
