Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),3-Cone (seconds),Combine Participation,ELO,Efficiencies Overall,CFP Appearance,National Award,Actual,Predicted Probability
2023,IOL,OL,Mississippi,SEC,76.0,305,9.75,32.5,5.27,29.0,20,7.75,1,1634,68.271,0,0,1,0.1881422
2024,S,Secondary,Wake Forest,ACC,70.125,209,9.0,30.125,4.53,37.5,22,6.9,1,1397,44.613,0,0,1,0.91827273
2024,OT,OL,BYU,Big 12,76.625,326,10.625,34.25,5.04,28.0,30,8.03,1,1364,52.478,0,1,1,0.9375639
2024,S,Secondary,Washington St.,Pac-12,73.875,211,9.375,31.5,4.55,37.5,16,6.88,1,1546,62.169,0,0,1,0.85708886
2023,P,Special Teams,Tennessee,SEC,77.25,201,9.75,31.5,4.83,34.0,20,7.27,0,2000,84.959,0,0,0,0.56140476
2024,CB,Secondary,Oregon St.,Pac-12,71.25,184,8.75,30.5,4.44,37.0,15,6.94,0,1722,79.392,0,0,0,0.7753585
2025,RB,Skill,Boise State,Mountain West,68.5,211,9.25,29.25,4.58,34.92,11,7.11,0,1764,75.687,0,1,1,0.0980591
2025,CB,Secondary,Ole Miss,SEC,72.75,195,9.0,31.25,4.43,32.5,13,8.19,1,2007,84.235,1,0,1,0.79622716
2024,TE,Skill,TCU,Big 12,78.125,249,9.5,33.25,4.62,37.0,28,7.19,1,1631,59.244,0,0,1,0.36513817
2023,WR,Skill,Oklahoma,Big 12,70.875,183,9.0,31.625,4.38,39.5,14,6.9,1,1662,66.271,0,0,1,0.93639064
2025,IOL,OL,West Virginia,Big 12,78.5,313,10.25,32.125,5.27,30.0,33,8.19,1,1455,52.984,0,0,1,0.4699316
2025,WR,Skill,UNLV,Mountain West,73.125,184,9.25,31.625,4.61,36.0,11,6.66,1,1679,71.232,0,0,1,0.12624301
2025,WR,Skill,Ole Miss,SEC,74.375,205,9.5,31.75,4.54,38.5,15,6.93,1,2007,84.235,1,1,1,0.9506734
2025,DL,DL,Texas A&M,SEC,75.125,290,10.25,33.5,5.45,43.0,33,6.65,0,1762,76.763,1,0,1,0.28573817
2024,LB,LB,Ohio St.,Big Ten,72.75,226,9.25,30.5,4.64,33.5,18,7.13,1,2065,89.569,1,0,0,0.7929428
2023,WR,Skill,Clemson,ACC,75.125,217,10.25,31.5,4.54,34.5,19,6.96,1,1843,74.958,0,0,0,0.6573329
2023,WR,Skill,South Carolina,SEC,73.0,201,9.5,34.125,4.69,35.0,17,7.15,1,1620,61.258,0,0,1,0.3352477
2025,EDGE,DL,Ole Miss,SEC,77.875,274,9.125,33.5,5.45,24.5,30,8.19,0,2007,84.235,1,0,0,0.9471508
2024,WR,Skill,Illinois,Big Ten,69.25,182,9.125,30.125,4.63,38.0,17,6.75,1,1504,45.217,0,0,0,0.9419139
2024,IOL,OL,Utah,Pac-12,76.25,319,9.875,32.875,5.28,26.0,27,7.85,1,1684,65.114,0,0,1,0.15777017
2024,CB,Secondary,Alabama,SEC,71.75,189,8.875,31.625,4.5,37.0,15,6.94,1,2032,84.968,0,1,1,0.99164915
2023,K,Special Teams,Clemson,ACC,70.0,185,8.875,30.375,4.58,34.0,20,7.27,0,1843,74.958,0,0,0,0.41310897
2023,CB,Secondary,California,Pac-12,72.875,208,10.0,30.25,4.45,39.5,22,6.75,1,1406,44.902,0,0,1,0.956847
2024,CB,Secondary,Mississippi,SEC,72.0,183,8.5,30.75,4.38,34.5,15,6.94,1,1737,75.391,0,0,1,0.93671405
2023,CB,Secondary,USC,Pac-12,71.0,178,9.25,31.0,4.47,36.0,11,6.51,1,1745,77.414,0,0,1,0.9652776
2023,EDGE,DL,Auburn,SEC,75.0,252,9.5,33.5,4.62,33.5,23,7.17,0,1596,55.022,0,0,0,0.77350354
2023,CB,Secondary,South Carolina,SEC,74.0,198,9.5,33.375,4.36,35.0,13,6.58,1,1620,61.258,0,0,1,0.9149788
2023,RB,Skill,TCU,Big 12,71.0,215,9.375,32.375,4.54,34.5,20,6.96,0,1729,80.5,0,0,1,0.7473756
2024,TE,Skill,Iowa,Big Ten,76.375,252,10.125,33.0,4.65,35.0,28,7.07,0,1575,61.244,0,0,1,0.6202359
2023,K,Special Teams,Michigan,Big Ten,73.0,209,9.5,30.875,4.58,34.0,20,7.27,0,2124,85.085,1,0,1,0.95373577
2023,IOL,OL,Kentucky,SEC,75.125,327,9.75,34.5,5.34,27.5,20,7.9,1,1606,59.284,0,0,0,0.45743635
2025,TE,Skill,Alabama,SEC,75.0,274,9.625,31.25,4.91,34.0,26,7.34,1,1986,85.057,1,0,1,0.64979464
2023,CB,Secondary,Iowa,Big Ten,72.0,205,9.25,31.875,4.62,35.5,18,6.99,1,1748,67.111,0,0,0,0.72893536
2023,WR,Skill,Maryland,Big Ten,75.0,212,9.75,34.25,4.57,35.5,19,6.95,1,1645,61.934,0,0,0,0.66640484
2025,OT,OL,Texas,SEC,77.125,315,10.375,33.5,5.16,32.0,14,7.81,1,2042,88.25,0,1,1,0.9980724
2024,LB,LB,Kentucky,SEC,73.125,237,9.125,32.625,4.51,37.5,18,7.35,1,1641,63.962,0,0,1,0.83319116
2023,IOL,OL,Alabama,SEC,74.625,314,9.5,33.875,5.21,29.0,20,7.77,0,2181,89.526,1,0,0,0.916792
2025,WR,Skill,Arizona,Big 12,76.125,219,10.0,31.5,4.68,32.15,15,6.94,0,1307,38.477,0,1,1,0.68394923
2024,DL,DL,Florida St.,ACC,75.625,292,9.375,31.0,4.78,33.5,26,8.12,1,1789,83.68,0,0,1,0.82325226
2024,CB,Secondary,Penn St.,Big Ten,71.25,191,8.75,30.875,4.61,37.0,15,6.94,1,2000,85.731,1,0,1,0.9017163
2024,EDGE,DL,Kansas,Big 12,76.5,240,9.25,33.875,4.79,32.5,23,7.55,1,1679,72.867,0,0,1,0.8136242
2023,WR,Skill,Maryland,Big Ten,71.875,192,9.375,31.375,4.44,35.5,13,6.93,1,1645,61.934,0,0,0,0.69812965
2023,WR,Skill,Cincinnati,AAC,70.0,177,9.0,30.875,4.44,39.5,14,6.92,1,1690,60.989,0,0,1,0.9447827
2025,DL,DL,Toldeo,MAC,75.875,305,10.0,34.0,4.95,31.5,28,7.6,1,1431,43.159,0,0,1,0.42425254
2024,S,Secondary,Georgia,SEC,70.0,202,9.25,31.625,4.46,36.0,18,6.99,1,2273,87.417,1,0,1,0.61281466
2024,LB,LB,North Carolina St.,ACC,75.875,233,9.0,30.5,4.43,34.5,18,7.29,1,1660,65.952,0,1,1,0.9588269
2024,RB,Skill,Notre Dame,FBS Independent,71.375,221,10.25,32.375,4.71,38.0,23,7.0,1,2077,83.947,1,0,1,0.78312063
2024,CB,Secondary,Louisville,ACC,70.375,194,9.0,31.25,4.49,38.0,15,6.94,0,1688,72.759,0,0,1,0.847384
2023,EDGE,DL,Missouri,SEC,76.0,268,8.625,33.875,4.76,36.5,25,7.39,1,1470,59.03,0,0,1,0.21667223
2023,P,Special Teams,Rutgers,Big Ten,73.0,187,8.75,29.375,4.83,34.0,20,7.27,0,1182,37.79,0,0,0,0.7950668
2023,DL,DL,Wisconsin,Big Ten,75.75,309,9.75,33.875,5.08,29.5,25,7.34,1,1706,60.996,0,0,1,0.8854377
2025,RB,Skill,Kansas,Big 12,71.125,213,8.5,29.5,4.58,37.5,11,6.65,1,1625,66.926,0,0,1,0.46829402
2023,QB,Skill,TCU,Big 12,73.5,207,9.875,31.375,4.52,30.5,20,7.26,1,1729,80.5,0,1,1,0.98070717
2025,IOL,OL,Georgia,SEC,79.125,309,10.5,33.0,5.24,26.0,11,8.19,1,1998,82.861,1,0,0,0.7432759
2023,TE,Skill,Purdue,Big Ten,77.625,253,9.75,33.375,4.87,34.5,21,7.42,1,1460,58.947,0,0,1,0.8814889
2023,RB,Skill,East Carolina,AAC,67.875,179,9.25,30.75,4.37,38.0,20,7.33,1,1509,54.675,0,0,0,0.9503826
2023,IOL,OL,Eastern Michigan,MAC,76.75,323,10.375,33.625,5.07,32.0,20,7.62,1,1400,38.544,0,0,1,0.93873227
2023,WR,Skill,Nebraska,Big Ten,72.0,192,9.625,31.875,4.33,36.5,16,6.93,1,1532,40.694,0,0,1,0.87598187
2023,TE,Skill,Clemson,ACC,77.875,245,10.0,32.25,4.84,38.5,21,6.92,1,1843,74.958,0,0,1,0.9630765
2023,QB,Skill,Ohio St.,Big Ten,75.0,214,10.0,32.625,4.59,34.5,20,7.09,0,2107,88.337,0,1,1,0.9942967
2023,OT,OL,Tennessee,SEC,77.0,333,9.0,33.75,5.01,29.0,20,7.6,1,2000,84.959,0,1,1,0.9975479
2023,RB,Skill,UCLA,Pac-12,72.375,214,9.875,32.0,4.53,37.0,20,6.87,1,1684,65.594,0,0,1,0.7375245
2024,RB,Skill,South Dakota St.,MVFC,72.25,218,10.25,31.125,4.57,34.5,23,7.02,1,1750,68.684,0,0,1,0.63450426
2024,EDGE,DL,Michigan,Big Ten,75.75,250,9.75,33.25,4.68,37.0,23,7.33,1,2210,94.395,0,0,1,0.9350431
2023,OT,OL,Utah,Pac-12,76.0,294,9.375,33.0,4.99,30.5,20,7.53,1,1915,79.905,0,0,1,0.9346981
2024,WR,Skill,Washington,Pac-12,74.875,212,9.25,32.25,4.45,39.0,15,6.88,1,1879,82.666,0,1,1,0.9881838
2023,IOL,OL,Florida,SEC,77.0,330,11.25,33.875,5.31,23.5,20,7.99,1,1581,60.994,0,0,1,0.8392112
2023,C,OL,Oregon,Pac-12,76.0,303,10.25,32.75,5.24,20.5,20,8.08,1,1724,78.17,0,0,1,0.5690127
2023,QB,Skill,UCLA,Pac-12,73.625,203,9.875,30.625,4.56,32.5,20,7.28,1,1684,65.594,0,0,1,0.7311341
2023,OT,OL,Alabama,SEC,78.0,321,10.5,32.75,5.16,29.5,20,7.6,1,2181,89.526,1,0,1,0.97505987
2023,LS,Special Teams,Central Florida,AAC,76.0,240,9.625,30.375,5.06,30.0,12,7.27,1,1551,61.732,0,0,0,0.4083802
2025,QB,Skill,Lousiville,ACC,76.875,219,9.675,30.625,4.63,32.0,22,6.65,1,1809,79.476,0,0,1,0.720735
2025,QB,Skill,Florida,SEC,75.375,212,9.625,31.25,4.28,43.0,22,7.41,0,1767,71.717,0,0,1,0.85927975
2025,IOL,OL,Alabama,SEC,76.625,321,11.0,34.5,5.38,27.0,21,7.96,1,1986,85.057,1,0,1,0.81345695
2024,EDGE,DL,Alabama,SEC,75.375,251,9.375,33.25,4.6,33.5,23,7.33,1,2032,84.968,0,0,1,0.9456506
2025,DL,DL,Texas,SEC,77.0,311,9.25,35.0,5.45,43.0,33,8.19,0,2042,88.25,0,0,1,0.83679754
2025,LB,LB,Penn State,Big Ten,72.625,236,9.5,31.25,4.35,41.58,33,7.43,0,2063,81.11,0,0,1,0.9318007
2023,DL,DL,Baylor,Big 12,74.875,335,10.25,32.375,5.39,28.0,26,7.8,1,1672,61.65,0,0,1,0.04175174
2024,LB,LB,Indiana,Big Ten,72.875,231,9.375,32.75,4.75,30.0,16,7.24,1,1343,41.79,1,0,0,0.15565257
2023,WR,Skill,SMU,AAC,73.0,204,9.5,32.75,4.51,41.0,17,6.94,1,1504,56.034,0,0,1,0.5393382
2025,OT,OL,Purdue,Big Ten,76.125,303,10.5,32.0,4.28,34.4,11,8.19,1,1061,20.419,0,0,1,0.9627594
2025,CB,Secondary,Rutgers,Big Ten,71.0,175,8.5,31.5,4.39,33.87,11,6.65,1,1533,55.405,0,0,1,0.53139114
2023,QB,Skill,Alabama,SEC,70.125,204,9.75,30.125,4.6,33.5,20,7.07,0,2181,89.526,1,0,1,0.75989544
2025,CB,Secondary,Florida,SEC,72.375,194,9.25,30.25,4.49,34.86,11,6.65,1,1767,71.717,0,0,1,0.74889034
2025,OT,OL,Texas,SEC,77.75,317,11.375,34.5,4.28,43.0,33,8.19,0,2042,88.25,0,0,1,0.9954796
2025,CB,Secondary,Kansas,Big 12,72.625,192,8.5,31.5,4.59,34.5,18,7.27,1,1625,66.926,0,0,0,0.42763945
2023,QB,Skill,BYU,FBS Independent,72.0,207,9.5,29.75,4.6,34.0,20,7.08,0,1526,50.481,0,0,1,0.72923905
2025,DL,DL,Georgia Tech,ACC,77.5,321,10.25,34.75,5.14,34.5,11,6.65,1,1554,66.705,0,0,1,0.9799122
2025,TE,Skill,Pittsburgh,ACC,76.625,246,9.75,31.375,4.7,24.5,33,8.19,1,1456,55.816,0,0,1,0.76786155
2023,IOL,OL,LSU,SEC,76.0,332,9.5,33.5,5.08,30.0,20,7.84,1,1871,78.295,0,0,1,0.89391077
2023,LB,LB,Texas,Big 12,74.625,229,9.5,32.25,4.56,34.0,15,6.62,1,1900,79.1,1,0,1,0.8164343
2024,EDGE,DL,Mississippi,SEC,75.0,260,9.875,33.5,4.63,38.0,25,7.15,1,1737,75.391,0,0,1,0.8813758
2025,LB,LB,North Carolina,ACC,71.125,237,9.125,30.5,4.73,37.0,27,7.6,1,1496,50.555,0,0,0,0.69531864
2024,IOL,OL,Ohio St.,Big Ten,75.5,316,9.0,32.625,5.21,28.0,27,8.19,1,2065,89.569,1,0,0,0.77685314
2024,LB,LB,Wyoming,Mountain West,72.375,232,9.25,30.375,4.73,31.5,18,7.28,1,1494,52.814,0,0,0,0.054344255
2023,EDGE,DL,Iowa St.,Big 12,74.5,269,9.25,33.75,4.68,33.0,20,7.43,1,1554,57.494,0,0,0,0.56955755
2025,EDGE,DL,South Carolina,SEC,76.0,254,9.625,34.0,4.73,30.43,23,6.65,1,1810,76.206,0,0,1,0.7364668
