Season,Position,Position Group,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2023,WR,Skill,FBS Independent,68.0,179,8.75,72.5,4.44,39.5,14,134.0,6.92,4.29,1,-3.902,44.748,0,0,Rounds 6-7,1,0.28962439088529923,21,28.09917355371901,36.206896551724135
2024,DL,DL,Big Ten,77.375,281,10.25,78.875,5.05,31.5,25,114.0,7.16,4.37,1,6.086,61.244,0,0,Rounds 6-7,1,0.28962210067943395,22,28.512396694214875,37.93103448275862
2025,CB,Secondary,Big Ten,72.5,213,9.0,79.5,4.38,30.44,11,116.6,8.12,4.97,0,6.154,64.984,0,0,Undrafted,0,0.28945672624748214,22,28.92561983471074,37.93103448275862
2025,RB,Skill,Big 12,69.5,219,9.375,73.875,4.65,39.5,17,123.0,7.37,4.97,1,11.793,78.233,0,0,Rounds 4-5,0,0.2893508944181853,22,29.338842975206614,37.93103448275862
2023,OT,OL,SEC,77.0,306,10.0,81.125,5.15,30.0,20,108.0,7.6,4.69,0,7.555,60.994,0,0,Undrafted,0,0.2892653568534214,22,29.75206611570248,37.93103448275862
2023,C,OL,Big Ten,75.25,301,10.25,81.75,5.22,32.0,20,102.0,7.75,4.82,1,19.477,82.964,0,0,Rounds 2-3,0,0.2891037307741148,22,30.165289256198346,37.93103448275862
2025,CB,Secondary,Big Ten,72.125,195,8.5,76.125,4.42,29.5,24,121.7,6.65,4.03,0,24.823,87.333,1,0,Rounds 6-7,1,0.28885295825566926,23,30.57851239669421,39.6551724137931
2023,EDGE,DL,Sun Belt,74.25,236,9.5,80.625,4.58,35.5,23,120.0,7.07,4.45,1,0.411,45.95,0,0,Rounds 6-7,1,0.28856649394806655,24,30.991735537190085,41.37931034482759
2024,CB,Secondary,Pac-12,69.75,184,9.125,72.375,4.54,34.5,18,125.0,7.05,4.32,1,3.221,62.169,0,0,Rounds 4-5,0,0.28852237096737143,24,31.40495867768595,41.37931034482759
2023,EDGE,DL,ACC,76.0,238,8.625,78.875,4.61,34.5,22,123.0,7.22,4.45,1,6.195,60.099,0,0,Undrafted,0,0.2884125506959227,24,31.818181818181817,41.37931034482759
