Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),3-Cone (seconds),Combine Participation,ELO,Efficiencies Overall,CFP Appearance,National Award,Actual,Predicted Probability
2023,CB,Secondary,Pittsburgh,ACC,70.375,193,9.5,30.75,4.43,35.5,15,7.04,1,1687,61.732,0,0,1,0.6351972592564662
2025,CB,Secondary,Flordia State,ACC,73.5,197,10.0,32.375,4.63,36.57,12,6.65,1,1363,35.518,0,0,1,0.5298084041739666
2025,DL,DL,Notre Dame,FBS Independent,77.375,291,9.75,32.5,4.46,28.47,33,8.19,0,2154,88.314,0,0,1,0.6579803003066611
2025,TE,Skill,Clemson,ACC,77.625,241,8.5,31.375,4.75,31.0,33,8.19,1,1807,79.193,0,0,0,0.5746327143188347
2023,TE,Skill,Georgia,SEC,78.625,264,11.0,34.375,4.64,31.0,21,6.75,1,2300,93.511,0,0,1,0.6394795985202103
2023,CB,Secondary,Coastal Carolina,Sun Belt,74.0,200,9.75,32.375,4.48,37.0,13,6.83,1,1344,40.095,0,0,0,0.5034684966063311
2024,CB,Secondary,Pittsburgh,ACC,70.75,186,8.75,32.875,4.45,38.5,15,7.12,1,1404,43.622,0,0,1,0.6327422433176717
2025,DL,DL,Iowa,Big Ten,77.75,336,10.25,35.0,5.39,25.5,11,7.63,1,1774,70.238,0,0,1,0.6208940573881756
2023,CB,Secondary,Stanford,Pac-12,72.0,191,9.75,32.0,4.52,36.0,15,6.51,1,1237,38.149,0,0,1,0.5714925295598252
2024,DL,DL,Baylor,Big 12,78.0,291,9.5,34.5,5.03,31.5,27,7.65,1,1384,30.445,0,0,0,0.42821346878302063
2025,DL,DL,South Carolina,SEC,75.875,297,10.25,33.125,4.28,31.5,31,7.7,1,1810,76.206,0,0,1,0.612714516089629
2023,WR,Skill,Florida,SEC,76.0,229,10.0,33.75,4.55,35.5,18,6.97,1,1581,60.994,0,0,1,0.4008433226505483
2023,TE,Skill,Michigan,Big Ten,77.25,251,9.0,32.875,4.63,33.5,21,6.75,1,2124,85.085,1,0,1,0.6845845421878449
2025,WR,Skill,Utah State,Mountain West,72.0,205,9.5,30.125,4.42,35.58,13,7.24,1,1362,26.445,0,0,1,0.48299953669550366
2023,RB,Skill,Georgia,SEC,72.25,204,9.0,30.5,4.62,35.5,20,7.11,1,2300,93.511,0,0,1,0.431554483984867
2025,EDGE,DL,Texas,SEC,75.25,256,9.25,33.25,4.68,34.0,28,7.06,1,2042,88.25,0,0,1,0.6184732585006741
2024,RB,Skill,Florida St.,ACC,72.25,216,9.25,31.5,4.39,33.5,22,6.98,1,1789,83.68,0,0,1,0.6133315980005016
2023,LB,LB,North Carolina St.,ACC,74.0,233,9.125,31.75,4.52,35.0,26,7.4,1,1586,61.626,0,0,0,0.5018283502832943
2025,DL,DL,South Carolina,SEC,74.875,284,9.0,33.0,5.45,32.0,33,7.36,1,1810,76.206,0,0,1,0.4389432625523495
2025,DL,DL,Boston College,ACC,74.75,312,9.5,33.0,5.3,31.5,11,8.19,1,1513,61.35,0,0,0,0.4563169020005758
2024,S,Secondary,Washington,Pac-12,74.375,215,10.0,33.25,4.51,39.0,16,6.83,1,1879,82.666,0,0,1,0.6112395386248589
2025,C,OL,Kentucky,SEC,76.25,306,9.25,31.0,4.84,32.5,22,7.63,1,1498,54.684,0,0,0,0.4825124238451559
2023,EDGE,DL,Florida A&M,SWAC,75.5,236,9.25,32.5,4.62,34.5,21,7.2,1,1675,63.765,0,0,0,0.4160854125107476
2023,OT,OL,Arkansas,SEC,80.0,320,10.5,34.375,5.24,24.5,20,7.61,1,1686,62.299,0,0,0,0.49656353141210013
2025,QB,Skill,Notre Dame,FBS Independent,75.75,216,9.5,31.5,4.28,43.0,22,8.19,0,2154,88.314,0,0,1,0.6917181345270108
2023,IOL,OL,Mississippi,SEC,76.0,305,9.75,32.5,5.27,29.0,20,7.75,1,1634,68.271,0,0,1,0.3748704519837337
2024,S,Secondary,Wake Forest,ACC,70.125,209,9.0,30.125,4.53,37.5,22,6.9,1,1397,44.613,0,0,1,0.5399479750798339
2024,OT,OL,BYU,Big 12,76.625,326,10.625,34.25,5.04,28.0,30,8.03,1,1364,52.478,0,1,1,0.649726900209806
2024,S,Secondary,Washington St.,Pac-12,73.875,211,9.375,31.5,4.55,37.5,16,6.88,1,1546,62.169,0,0,1,0.4821839315157693
2023,P,Special Teams,Tennessee,SEC,77.25,201,9.75,31.5,4.83,34.0,20,7.27,0,2000,84.959,0,0,0,0.5232063571277006
2024,CB,Secondary,Oregon St.,Pac-12,71.25,184,8.75,30.5,4.44,37.0,15,6.94,0,1722,79.392,0,0,0,0.593869790100625
2025,RB,Skill,Boise State,Mountain West,68.5,211,9.25,29.25,4.58,34.92,11,7.11,0,1764,75.687,0,1,1,0.508977566995169
2025,CB,Secondary,Ole Miss,SEC,72.75,195,9.0,31.25,4.43,32.5,13,8.19,1,2007,84.235,1,0,1,0.5954429631189423
2024,TE,Skill,TCU,Big 12,78.125,249,9.5,33.25,4.62,37.0,28,7.19,1,1631,59.244,0,0,1,0.41207800264832556
2023,WR,Skill,Oklahoma,Big 12,70.875,183,9.0,31.625,4.38,39.5,14,6.9,1,1662,66.271,0,0,1,0.642183765819472
2025,IOL,OL,West Virginia,Big 12,78.5,313,10.25,32.125,5.27,30.0,33,8.19,1,1455,52.984,0,0,1,0.41692554199698584
2025,WR,Skill,UNLV,Mountain West,73.125,184,9.25,31.625,4.61,36.0,11,6.66,1,1679,71.232,0,0,1,0.4333728371267613
2025,WR,Skill,Ole Miss,SEC,74.375,205,9.5,31.75,4.54,38.5,15,6.93,1,2007,84.235,1,1,1,0.6803557238067397
2025,DL,DL,Texas A&M,SEC,75.125,290,10.25,33.5,5.45,43.0,33,6.65,0,1762,76.763,1,0,1,0.6113077210278937
2024,LB,LB,Ohio St.,Big Ten,72.75,226,9.25,30.5,4.64,33.5,18,7.13,1,2065,89.569,1,0,0,0.5750902598418615
2023,WR,Skill,Clemson,ACC,75.125,217,10.25,31.5,4.54,34.5,19,6.96,1,1843,74.958,0,0,0,0.5221774952488097
2023,WR,Skill,South Carolina,SEC,73.0,201,9.5,34.125,4.69,35.0,17,7.15,1,1620,61.258,0,0,1,0.402343533433869
2025,EDGE,DL,Ole Miss,SEC,77.875,274,9.125,33.5,5.45,24.5,30,8.19,0,2007,84.235,1,0,0,0.6827096546858903
2024,WR,Skill,Illinois,Big Ten,69.25,182,9.125,30.125,4.63,38.0,17,6.75,1,1504,45.217,0,0,0,0.5749731229349723
2024,IOL,OL,Utah,Pac-12,76.25,319,9.875,32.875,5.28,26.0,27,7.85,1,1684,65.114,0,0,1,0.37147984550144403
