Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Round,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Round Captured
2023,OT,OL,North Carolina,ACC,76.0,309,10.0,34.0,82.75,5.15,29.5,20,108.0,7.6,4.69,0,1559,6.195,60.099,78.452,30.968,61.95,0,0,Round 6,0,0.16784620748079304,33,33.88429752066116,50.0
2023,RB,Skill,Northwestern,Big Ten,70.125,209,9.25,30.625,74.375,4.47,37.0,20,123.0,6.9,4.38,1,1257,-7.588,30.34,26.742,42.636,51.301,0,0,Round 6,0,0.16769334045946171,33,34.29752066115703,50.0
2024,DL,DL,Auburn,SEC,74.375,286,9.625,32.0,78.25,5.06,29.5,27,103.0,6.81,4.6,1,1585,8.916,67.536,49.076,72.965,65.063,0,0,Round 7,0,0.16705542894947825,33,34.710743801652896,50.0
2023,IOL,OL,Tennessee-Chattanooga,SoCon,78.0,324,10.25,35.0,83.875,5.24,26.5,20,105.0,7.7,4.97,1,1738,11.336,69.68,68.952,64.29,44.371,0,0,Undrafted,1,0.1669560826116345,34,35.12396694214876,51.515151515151516
2023,CB,Secondary,Coastal Carolina,Sun Belt,74.0,200,9.75,32.375,78.125,4.48,37.0,13,124.0,6.83,4.3,1,1344,-6.531,40.095,54.955,32.539,40.387,0,0,Undrafted,1,0.16681446085176937,35,35.53719008264463,53.03030303030303
2023,RB,Skill,Texas,Big 12,72.25,219,9.625,32.0,76.875,4.58,31.5,20,122.0,7.01,4.48,1,1900,19.379,79.1,73.758,70.57,66.449,1,0,Round 4,0,0.1663530461392458,35,35.9504132231405,53.03030303030303
2024,CB,Secondary,Washington St.,Pac-12,69.75,184,9.125,30.25,72.375,4.54,34.5,18,125.0,7.05,4.32,1,1546,3.221,62.169,54.667,62.054,59.872,0,0,Round 5,0,0.16506179046314767,35,36.36363636363637,53.03030303030303
2023,EDGE,DL,Auburn,SEC,74.75,254,10.0,34.5,82.625,4.55,33.5,23,127.0,7.22,4.45,1,1596,6.205,55.022,47.067,62.103,45.36,0,0,Round 2,0,0.1646139166174631,35,36.77685950413223,53.03030303030303
2023,IOL,OL,Washington,Pac-12,77.75,306,10.75,34.0,81.125,5.5,28.0,20,101.0,8.34,4.97,1,1760,11.472,73.944,84.016,49.984,45.242,1,0,Undrafted,1,0.16440740308623603,36,37.1900826446281,54.54545454545454
2024,DL,DL,Duke,ACC,74.375,302,10.25,33.0,79.125,4.99,32.0,27,109.0,7.95,4.75,1,1654,8.778,68.7,63.774,63.667,60.347,0,0,Round 3,0,0.16326767953035662,36,37.60330578512397,54.54545454545454
2024,C,OL,North Carolina St.,ACC,75.375,299,9.375,31.75,75.125,5.1,33.0,29,115.0,7.26,4.33,1,1660,6.943,65.952,47.142,75.741,57.991,0,0,Round 6,0,0.16326673546553577,36,38.01652892561984,54.54545454545454
2025,RB,Skill,North Carolina,ACC,71.75,221,9.375,30.5,74.75,4.46,38.0,18,130.0,6.75,4.4,1,1496,2.602,50.555,55.402,46.067,47.749,0,0,Round 1,0,0.16303112325593944,36,38.429752066115704,54.54545454545454
2023,C,OL,Notre Dame,FBS Independent,77.125,306,10.0,31.375,77.0,5.33,29.5,20,106.0,7.96,4.73,1,1850,12.6,69.601,59.985,66.897,66.833,0,0,Round 6,0,0.1630106349022131,36,38.84297520661157,54.54545454545454
2023,WR,Skill,SMU,AAC,73.0,204,9.5,32.75,77.375,4.51,41.0,17,128.0,6.94,4.29,1,1504,2.267,56.034,67.613,41.499,46.125,0,0,Round 2,0,0.16262004559395826,36,39.25619834710744,54.54545454545454
2024,OT,OL,Yale,Ivy League,77.375,323,9.625,36.125,85.5,5.17,29.5,29,109.0,7.93,4.64,0,1725,10.499,65.564,63.746,61.56,50.241,0,0,Round 3,0,0.1619852165704338,36,39.66942148760331,54.54545454545454
2023,RB,Skill,USC,Pac-12,70.0,201,9.25,27.125,70.25,4.46,35.5,20,122.0,7.16,4.61,0,1745,13.164,77.414,90.693,44.38,43.862,0,0,Undrafted,1,0.1616898173979944,37,40.082644628099175,56.060606060606055
2025,EDGE,DL,Baylor,Big 12,75.75,242,9.0,34.25,81.25,5.45,32.5,21,124.0,6.65,4.97,1,1656,9.105,70.789,70.321,56.691,72.021,0,0,Undrafted,1,0.16097295089527633,38,40.49586776859504,57.57575757575758
2025,OT,OL,Connecticut,FBS Independent,79.5,304,9.5,32.5,77.75,4.28,32.99,20,138.0,6.65,4.97,1,1432,-3.325,47.273,35.591,58.188,54.648,0,0,Round 6,0,0.16067246405868635,38,40.909090909090914,57.57575757575758
