Season,Player,Position,Position Group,Conference,Overall Pick,Actual Tier Number,Predicted Tier Number,Actual Tier,Predicted Tier,Correct,Ordinal Error,Prob Round 1,Prob Rounds 2-3,Prob Rounds 4-5,Prob Rounds 6-7,Prob Undrafted,Basic Prob Round 1,Basic Prob Rounds 2-3,Basic Prob Rounds 4-5,Basic Prob Rounds 6-7,Basic Prob Undrafted,Actual Target,Cumulative Targets Captured,Percent of Players Reviewed,Percent of Actual Targets Captured
2026,Khalil Dinkins,TE,Skill,Big Ten,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.037128254784978075,0.11602999758087951,0.19905228782220677,0.2500212379822256,0.39776822182971006,0.094791574854188,0.19915890745858866,0.20408974711978595,0.2533690260905102,0.2485907444769272,1,21,20.846905537459286,25.301204819277107
2026,Chris Johnson,CB,Secondary,Mountain West,27,0,3,Round 1,Rounds 6-7,Incorrect,3,0.03766711147219187,0.11744271063648307,0.20052349690721497,0.25017868542849353,0.39418799555561657,0.030480856650713727,0.0806253951317534,0.11840803766054313,0.2462362021493467,0.5242495084076431,0,21,21.172638436482085,25.301204819277107
2026,Sawyer Robertson,QB,Skill,Big 12,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.03834340477370672,0.11920611738372026,0.20233404390464474,0.25033712681943343,0.38977930711849484,0.12073679428910819,0.2324042523537362,0.212275372694813,0.23311740526453006,0.20146617539781253,1,22,21.49837133550489,26.506024096385545
2026,Kage Casey,OT,OL,Mountain West,111,2,3,Rounds 4-5,Rounds 6-7,Incorrect,1,0.03849468611818791,0.11959911783451069,0.20273365591606782,0.2503667927824892,0.3888057473487444,0.054330997479098746,0.13161248051371915,0.16653735923902685,0.27134746591114167,0.37617169685701357,0,22,21.824104234527688,26.506024096385545
2026,Jude Bowry,OT,OL,ACC,102,2,3,Rounds 4-5,Rounds 6-7,Incorrect,1,0.03860995104200497,0.11989819736112632,0.2030368193168696,0.2503880098726817,0.3880670224073174,0.15004155172220018,0.2623555734326271,0.21343330583152909,0.21011332253987636,0.16405624647376726,0,22,22.149837133550488,26.506024096385545
2026,Rayshaun Benny,DL,DL,Big Ten,250,3,3,Rounds 6-7,Rounds 6-7,Correct,0,0.03878055108637972,0.12034028975581225,0.20348345083775754,0.25041723496647234,0.38697847335357816,0.11172176166091564,0.22163030652767146,0.21037892165158434,0.2403067821748459,0.21596222798498266,0,22,22.475570032573287,26.506024096385545
2026,Nadame Tucker,EDGE,DL,MAC,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.0388142826223779,0.12042762164456988,0.2035714683439832,0.25042270798356076,0.38676391940550825,0.11511559099323607,0.22577912153971783,0.21119690637284771,0.23760653523582442,0.21030184585837397,1,23,22.80130293159609,27.710843373493976
2026,Keylan Rutledge,IOL,OL,ACC,26,0,3,Round 1,Rounds 6-7,Incorrect,3,0.03891345499370384,0.12068422903478794,0.2038296878926188,0.25043821897294755,0.3861344091059419,0.04863642313243375,0.12028187378675101,0.1574014150708677,0.26974717612872284,0.4039331118812247,0,23,23.12703583061889,27.710843373493976
2026,Lee Hunter,DL,DL,Big 12,49,1,3,Rounds 2-3,Rounds 6-7,Incorrect,2,0.03893865203951962,0.12074938983118619,0.20389516253265663,0.2504420225261268,0.38597477307051076,0.12929499289206037,0.2419227943348436,0.21332221693020642,0.22629125095828173,0.1891687448846079,0,23,23.452768729641694,27.710843373493976
2026,Nyjalik Kelly,EDGE,DL,Big 12,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.038942212275620336,0.12075859559172072,0.20390440951442604,0.2504425554774876,0.3859522271407453,0.10772930239159804,0.21660200770626015,0.20924250084399687,0.24346269079071137,0.22296349826743356,1,24,23.778501628664493,28.915662650602407
