Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2023,CB,Secondary,Houston,AAC,72.0,195,9.5,78.0,4.53,37.5,15,125.0,6.97,4.52,1,4.061,51.527,62.603,38.496,54.875,0,0,Rounds 6-7,0,0.284812075121097,16,28.512396694214875,34.04255319148936
2025,LB,LB,California,ACC,73.875,233,9.375,75.375,4.6,40.0,26,125.0,7.28,4.03,1,4.302,57.687,45.477,64.264,58.117,0,0,Rounds 4-5,1,0.28454495214769604,17,28.92561983471074,36.17021276595745
2025,WR,Skill,Notre Dame,FBS Independent,75.0,201,9.5,79.5,4.49,38.37,19,123.0,7.02,4.42,0,25.305,88.314,78.053,88.226,42.499,0,0,Undrafted,0,0.2824580699478616,17,29.338842975206614,36.17021276595745
2024,IOL,OL,Michigan,Big Ten,76.125,309,10.625,84.75,5.15,29.5,28,109.0,7.7,4.61,0,27.625,94.395,88.226,91.352,54.858,0,0,Rounds 6-7,0,0.2820503095423661,17,29.75206611570248,36.17021276595745
2025,S,Secondary,Texas,SEC,71.25,186,9.0,75.375,4.45,40.36,17,121.4,6.65,4.03,1,26.107,88.25,73.85,92.32,35.538,0,0,Rounds 2-3,0,0.28169115278891343,17,30.165289256198346,36.17021276595745
2024,QB,Skill,Michigan,Big Ten,74.5,219,9.0,75.875,4.81,32.5,17,114.0,6.82,4.23,1,27.625,94.395,88.226,91.352,54.858,0,0,Round 1,0,0.2816871762313184,17,30.57851239669421,36.17021276595745
2025,DL,DL,Texas,SEC,77.625,332,10.0,85.0,4.28,26.0,11,96.0,6.65,4.97,1,26.107,88.25,73.85,92.32,35.538,0,0,Rounds 2-3,0,0.2809573184135088,17,30.991735537190085,36.17021276595745
2023,EDGE,DL,Nebraska,Big Ten,76.75,250,10.75,83.375,4.74,33.5,21,118.0,7.18,4.38,1,-0.651,40.694,43.713,40.707,51.926,0,0,Rounds 6-7,0,0.28035377852127896,17,31.40495867768595,36.17021276595745
2024,LB,LB,Michigan,Big Ten,71.375,233,8.5,78.0,4.62,34.5,18,119.0,7.26,4.63,0,27.625,94.395,88.226,91.352,54.858,0,0,Rounds 6-7,0,0.28030515381034793,17,31.818181818181817,36.17021276595745
2025,EDGE,DL,Ole Miss,SEC,77.875,274,9.125,82.75,5.45,24.5,30,138.0,8.19,4.97,0,20.608,84.235,76.596,81.866,47.73,1,0,Undrafted,0,0.2796281809567279,17,32.231404958677686,36.17021276595745
2023,CB,Secondary,Stanford,Pac-12,72.0,191,9.75,76.625,4.52,36.0,15,131.0,6.51,4.27,1,-3.917,38.149,36.614,44.176,50.17,0,0,Rounds 4-5,1,0.279004682028823,18,32.64462809917356,38.297872340425535
