Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual,Predicted Probability
2023,WR,Skill,USC,Pac-12,71.125,173,8.75,30.875,74.5,4.49,34.0,13,122.0,6.91,4.29,1,1745,13.164,77.414,90.693,44.38,43.862,0,1,1,0.6244502564068339
2025,OT,OL,Arizona,Big 12,76.125,324,10.25,33.75,82.25,4.95,29.0,18,106.0,7.28,4.66,1,1307,-3.385,38.477,43.057,38.791,48.852,0,1,1,0.5578515748385015
2025,WR,Skill,UCF,Big 12,72.75,193,9.0,30.5,75.25,4.57,35.0,17,122.0,6.85,4.4,1,1557,5.283,53.294,60.369,50.721,32.002,0,0,0,0.4214346099443534
2024,TE,Skill,Colorado St.,Mountain West,75.375,241,10.25,33.625,78.125,4.78,32.5,28,122.0,6.83,4.21,1,1276,-11.774,30.563,28.491,37.664,56.051,0,0,0,0.3631432207332111
2025,EDGE,DL,Boston College,ACC,74.5,248,9.25,34.0,82.75,4.28,35.5,22,119.0,6.94,4.19,1,1513,4.829,61.35,56.657,64.403,40.228,0,0,1,0.6016200582472371
2024,OT,OL,Houston,Big 12,79.5,331,9.375,36.25,86.25,5.13,29.0,28,108.0,7.65,4.58,1,1421,-2.113,42.491,51.077,36.881,53.212,0,0,1,0.43319166666734454
2023,WR,Skill,Penn St.,Big Ten,72.0,199,10.0,32.375,75.625,4.6,35.5,14,120.0,6.93,4.21,1,2000,19.477,82.964,71.335,83.462,50.595,0,0,0,0.5522385093606541
2024,S,Secondary,LSU,SEC,70.875,191,9.25,30.0,73.375,4.59,36.0,15,123.0,7.11,5.41,1,1985,20.874,81.345,97.503,37.119,37.895,0,0,0,0.54222746088263
2023,CB,Secondary,Florida,SEC,71.625,193,10.0,32.0,77.625,4.72,33.5,20,119.0,7.08,4.54,1,1581,7.555,60.994,69.396,49.078,49.533,0,0,0,0.41972933535275364
2025,OT,OL,Wisconsin,Big Ten,79.0,314,10.0,33.5,81.375,5.27,36.57,33,138.0,8.19,4.97,0,1554,4.781,55.118,42.281,62.746,59.931,0,0,1,0.5886878358565382
2025,DL,DL,Virginia Tech,ACC,72.5,282,9.625,31.375,78.0,4.94,32.5,11,109.0,6.65,4.7,1,1647,8.853,70.514,55.299,74.421,59.153,0,0,1,0.5350271688731693
2023,DL,DL,LSU,SEC,75.0,305,10.125,32.75,78.125,5.01,31.0,30,112.0,8.01,5.0,1,1871,17.436,78.295,78.649,74.431,26.438,0,0,1,0.5519516944691251
2023,CB,Secondary,Pittsburgh,ACC,70.375,193,9.5,30.75,74.125,4.43,35.5,15,123.0,7.04,4.54,1,1687,7.918,61.732,46.268,72.6,50.534,0,0,1,0.6755533010815323
2025,CB,Secondary,Flordia State,ACC,73.5,197,10.0,32.375,78.0,4.63,36.57,12,122.0,6.65,4.97,1,1363,-3.911,35.518,23.689,45.332,73.417,0,0,1,0.5427084503502041
2025,DL,DL,Notre Dame,FBS Independent,77.375,291,9.75,32.5,79.75,4.46,28.47,33,93.0,8.19,4.03,0,2154,25.305,88.314,78.053,88.226,42.499,0,0,1,0.6434123968099161
2025,TE,Skill,Clemson,ACC,77.625,241,8.5,31.375,77.625,4.75,31.0,33,115.0,8.19,4.03,1,1807,14.768,79.193,79.078,73.333,36.319,0,0,0,0.5675598011423474
2023,TE,Skill,Georgia,SEC,78.625,264,11.0,34.375,83.75,4.64,31.0,21,122.0,6.75,4.08,1,2300,29.908,93.511,90.791,87.647,45.406,0,0,1,0.6768108543543304
2023,CB,Secondary,Coastal Carolina,Sun Belt,74.0,200,9.75,32.375,78.125,4.48,37.0,13,124.0,6.83,4.3,1,1344,-6.531,40.095,54.955,32.539,40.387,0,0,0,0.466752170078937
2024,CB,Secondary,Pittsburgh,ACC,70.75,186,8.75,32.875,78.25,4.45,38.5,15,124.0,7.12,4.35,1,1404,-0.369,43.622,32.282,60.013,38.896,0,0,1,0.613643409805355
2025,DL,DL,Iowa,Big Ten,77.75,336,10.25,35.0,83.875,5.39,25.5,11,101.0,7.63,4.72,1,1774,11.144,70.238,48.063,74.759,71.573,0,0,1,0.6251514201763229
2023,CB,Secondary,Stanford,Pac-12,72.0,191,9.75,32.0,76.625,4.52,36.0,15,131.0,6.51,4.27,1,1237,-3.917,38.149,36.614,44.176,50.17,0,0,1,0.6509031972445873
2024,DL,DL,Baylor,Big 12,78.0,291,9.5,34.5,84.25,5.03,31.5,27,115.0,7.65,4.67,1,1384,-4.924,30.445,31.671,31.437,67.489,0,0,0,0.44377974970495104
2025,DL,DL,South Carolina,SEC,75.875,297,10.25,33.125,80.875,4.28,31.5,31,112.0,7.7,4.67,1,1810,14.834,76.206,60.762,80.864,51.02,0,0,1,0.6469452861007267
2023,WR,Skill,Florida,SEC,76.0,229,10.0,33.75,83.375,4.55,35.5,18,126.0,6.97,4.29,1,1581,7.555,60.994,69.396,49.078,49.533,0,0,1,0.4504544001273502
2023,TE,Skill,Michigan,Big Ten,77.25,251,9.0,32.875,78.125,4.63,33.5,21,127.0,6.75,4.27,1,2124,23.62,85.085,79.485,79.2,57.128,1,0,1,0.7415534468046292
2025,WR,Skill,Utah State,Mountain West,72.0,205,9.5,30.125,73.75,4.42,35.58,13,122.1,7.24,4.03,1,1362,-10.773,26.445,42.504,21.003,45.961,0,0,1,0.4998073613994467
2023,RB,Skill,Georgia,SEC,72.25,204,9.0,30.5,76.375,4.62,35.5,20,122.0,7.11,4.57,1,2300,29.908,93.511,90.791,87.647,45.406,0,0,1,0.44354103248094573
2025,EDGE,DL,Texas,SEC,75.25,256,9.25,33.25,77.875,4.68,34.0,28,121.0,7.06,4.36,1,2042,26.107,88.25,73.85,92.32,35.538,0,0,1,0.6330675585519773
2024,RB,Skill,Florida St.,ACC,72.25,216,9.25,31.5,76.375,4.39,33.5,22,122.0,6.98,4.25,1,1789,19.915,83.68,70.051,84.429,58.266,0,0,1,0.6757027951774908
2023,LB,LB,North Carolina St.,ACC,74.0,233,9.125,31.75,76.0,4.52,35.0,26,123.0,7.4,4.36,1,1586,6.545,61.626,35.041,76.185,70.218,0,0,0,0.5363502048686045
2025,DL,DL,South Carolina,SEC,74.875,284,9.0,33.0,80.75,5.45,32.0,33,112.0,7.36,4.48,1,1810,14.834,76.206,60.762,80.864,51.02,0,0,1,0.49744925662562484
2025,DL,DL,Boston College,ACC,74.75,312,9.5,33.0,81.0,5.3,31.5,11,108.0,8.19,4.97,1,1513,4.829,61.35,56.657,64.403,40.228,0,0,0,0.46687715973466076
2024,S,Secondary,Washington,Pac-12,74.375,215,10.0,33.25,79.875,4.51,39.0,16,122.0,6.83,4.14,1,1879,17.544,82.666,86.101,64.802,60.593,0,0,1,0.65295549739637
2025,C,OL,Kentucky,SEC,76.25,306,9.25,31.0,77.625,4.84,32.5,22,109.0,7.63,4.58,1,1498,4.707,54.684,41.39,62.472,62.769,0,0,0,0.5122775955559968
2023,EDGE,DL,Florida A&M,SWAC,75.5,236,9.25,32.5,77.5,4.62,34.5,21,126.0,7.2,4.56,1,1675,8.754,63.765,59.955,62.863,50.621,0,0,0,0.47337353348990857
