Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award,Actual Draft Round,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Round Captured
2025,TE,Skill,Iowa,Big Ten,77.75,251,10.0,32.125,78.375,5.42,35.0,11,120.0,7.18,4.47,1,1774,11.144,70.238,48.063,74.759,71.573,1.3863,0,0,Undrafted,0,0.1519384607895378,39,52.47933884297521,100.0
2025,CB,Secondary,Western Kentucky,Conference USA,73.0,181,9.0,30.0,74.375,4.44,37.5,21,128.0,8.19,4.29,1,1364,-7.663,43.781,43.864,42.926,60.821,5.0689,0,0,Round 4,0,0.15186071639032392,39,52.892561983471076,100.0
2025,S,Secondary,Penn State,Big Ten,73.5,215,9.5,32.5,80.875,4.44,38.11,12,103.8,6.72,4.97,0,2063,20.037,81.11,80.469,75.103,36.924,5.1761,0,0,Round 3,0,0.1506737119350942,39,53.30578512396694,100.0
2025,OT,OL,LSU,SEC,77.25,315,10.625,34.25,81.5,5.45,24.5,33,109.2,8.19,4.97,0,1827,13.515,71.849,75.763,61.497,39.011,5.124,0,0,Round 3,0,0.15063589301043334,39,53.71900826446281,100.0
2023,RB,Skill,Georgia,SEC,72.25,204,9.0,30.5,76.375,4.62,35.5,20,122.0,7.11,4.57,1,2300,29.908,93.511,90.791,87.647,45.406,3.091,0,0,Undrafted,0,0.150061031346194,39,54.132231404958674,100.0
2023,RB,Skill,Texas,Big 12,72.25,219,9.625,32.0,76.875,4.58,31.5,20,122.0,7.01,4.48,1,1900,19.379,79.1,73.758,70.57,66.449,4.9698,1,0,Round 4,0,0.14847515073584225,39,54.54545454545454,100.0
2023,EDGE,DL,Wisconsin,Big Ten,74.125,240,9.25,31.25,76.0,4.65,34.5,25,124.0,7.24,4.45,1,1706,8.148,60.996,54.436,68.136,36.997,4.8442,0,0,Round 5,0,0.1479037173546372,39,54.958677685950406,100.0
2024,RB,Skill,Ohio St.,Big Ten,68.5,229,9.0,28.625,69.625,4.56,36.0,22,119.0,7.25,4.26,0,2065,27.485,89.569,83.397,86.658,44.2,0.0,1,0,Undrafted,0,0.14748839055100146,39,55.371900826446286,100.0
2023,LB,LB,Purdue,Big Ten,73.875,220,9.875,33.0,78.75,4.64,30.5,17,112.0,7.32,4.45,1,1460,4.283,58.947,63.872,51.004,46.438,1.3863,0,0,Undrafted,0,0.14557860547463303,39,55.78512396694215,100.0
2025,WR,Skill,Illinois,Big Ten,74.25,204,9.5,31.125,78.0,4.61,37.5,17,124.0,6.65,4.03,1,1618,5.208,63.81,64.672,52.931,65.881,5.2204,0,0,Round 3,0,0.1445669178129403,39,56.19834710743802,100.0
