Season,Position,Position Group,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2023,WR,Skill,AAC,73.5,224,10.25,78.5,4.56,36.0,20,125.0,6.96,4.29,0,1.775,54.675,0,0,Undrafted,1,0.27735663660810683,41,43.80165289256198,62.121212121212125
2025,CB,Secondary,ACC,70.75,189,8.75,75.0,4.45,37.75,11,122.3,6.65,4.97,1,4.302,57.687,0,0,Rounds 6-7,0,0.2765915800978702,41,44.214876033057855,62.121212121212125
2025,DL,DL,Big Ten,75.75,306,10.0,82.625,5.09,28.0,11,103.0,8.19,4.03,1,-0.535,43.23,0,0,Rounds 6-7,0,0.2759066382133504,41,44.62809917355372,62.121212121212125
2023,WR,Skill,FBS Independent,68.0,179,8.75,72.5,4.44,39.5,14,134.0,6.92,4.29,1,-3.902,44.748,0,0,Rounds 6-7,0,0.2756489609843432,41,45.04132231404959,62.121212121212125
2024,DL,DL,Big Ten,77.375,281,10.25,78.875,5.05,31.5,25,114.0,7.16,4.37,1,6.086,61.244,0,0,Rounds 6-7,0,0.27563903663089695,41,45.45454545454545,62.121212121212125
2025,CB,Secondary,Big Ten,72.5,213,9.0,79.5,4.38,30.44,11,116.6,8.12,4.97,0,6.154,64.984,0,0,Undrafted,1,0.27492639270716024,42,45.867768595041326,63.63636363636363
2025,RB,Skill,Big 12,69.5,219,9.375,73.875,4.65,39.5,17,123.0,7.37,4.97,1,11.793,78.233,0,0,Rounds 4-5,0,0.27447439524571005,42,46.28099173553719,63.63636363636363
2023,OT,OL,SEC,77.0,306,10.0,81.125,5.15,30.0,20,108.0,7.6,4.69,0,7.555,60.994,0,0,Undrafted,1,0.27411134009237015,43,46.69421487603306,65.15151515151516
2023,C,OL,Big Ten,75.25,301,10.25,81.75,5.22,32.0,20,102.0,7.75,4.82,1,19.477,82.964,0,0,Rounds 2-3,0,0.2734307559992353,43,47.107438016528924,65.15151515151516
2025,CB,Secondary,Big Ten,72.125,195,8.5,76.125,4.42,29.5,24,121.7,6.65,4.03,0,24.823,87.333,1,0,Rounds 6-7,0,0.2723884275796571,43,47.5206611570248,65.15151515151516
